Wall time,Step,Value
1628839585.9755766,264,367.3155822753906
1628839668.7947373,269,369.9263916015625
1628839702.2175186,271,367.2795104980469
1628839719.0088947,272,367.732666015625
1628839768.7918205,275,361.1326599121094
1628839785.5529287,276,372.2395324707031
1628839801.6610873,277,361.6951904296875
1628839834.9560964,279,357.9483947753906
1628839851.4842727,280,368.3106384277344
1628839868.2823727,281,368.0106201171875
1628839884.979098,282,365.6534729003906
1628839901.390724,283,359.8904724121094
1628839909.8366604,284,359.4493713378906
1628839918.254721,285,369.960693359375
1628839926.7220664,286,363.83624267578125
1628839951.852874,288,370.2906494140625
1628839968.4371722,289,361.0879821777344
1628840000.8524358,291,360.1961669921875
1628840017.5168839,292,370.5110778808594
1628840083.993245,296,372.3543395996094
1628840100.5995812,297,367.13372802734375
1628840117.177673,298,367.327392578125
1628840133.6731005,299,357.7077331542969
1628840150.3379562,300,367.0325622558594
1628840167.0592299,301,369.3517761230469
1628840225.0769305,305,304.1854248046875
1628840241.7088244,306,245.76104736328125
1628840258.4978569,307,204.13919067382812
1628840275.3021662,308,180.5846405029297
1628840291.1573875,309,160.6970977783203
1628840308.090175,310,159.11090087890625
1628840341.9429924,312,137.47564697265625
1628840358.8921547,313,135.74510192871094
1628840375.8971882,314,128.38743591308594
1628840393.0016696,315,115.24776458740234
1628840409.823399,316,98.95561981201172
1628840426.8466656,317,94.55602264404297
1628840461.0934632,319,94.88846588134766
1628840478.310646,320,89.00052642822266
1628840495.3609798,321,86.82612609863281
1628840512.6505387,322,87.20702362060547
1628840529.9189599,323,83.09199523925781
1628840562.1352108,325,76.17122650146484
1628840613.8671122,328,71.92678833007812
1628840648.451611,330,65.576904296875
1628840665.975872,331,65.17411041259766
1628840683.6041052,332,65.83235931396484
1628840700.8352616,333,62.075355529785156
1628840718.1992357,334,60.761566162109375
1628840780.6095295,338,58.558956146240234
1628840796.796729,339,58.874263763427734
1628840831.2433355,341,57.10668182373047
1628840866.2470486,343,55.287078857421875
1628840883.4867356,344,55.28628921508789
1628840901.052094,345,53.85114288330078
1628840918.4373813,346,50.236778259277344
1628840935.5346959,347,51.49947738647461
1628840950.0438688,348,49.25634765625
1628840967.4382637,349,48.9805908203125
1628840984.644279,350,50.03194808959961
1628841002.2629514,351,52.025360107421875
1628841037.5077038,353,50.44741439819336
1628841055.2020917,354,47.56319808959961
1628841072.860036,355,46.08099365234375
1628841090.4757164,356,44.97228240966797
1628841125.3458662,358,45.8148193359375
1628841142.940462,359,46.45051574707031
1628841177.9628792,361,44.96272659301758
1628841195.5517933,362,43.50678253173828
1628841212.8956044,363,44.41902542114258
1628841230.414788,364,42.45411682128906
1628841248.0143204,365,42.474063873291016
1628841265.8429396,366,43.171669006347656
1628841283.2231548,367,41.662132263183594
1628841300.7718422,368,42.82339859008789
1628841318.2032447,369,41.057106018066406
1628841335.8683891,370,39.53585433959961
1628841405.8098516,374,38.89151382446289
1628841423.3576016,375,38.36448669433594
1628841440.5471218,376,38.60931396484375
1628841475.8782728,378,38.121620178222656
1628841493.4515173,379,38.55158996582031
1628841564.1511772,383,37.39216232299805
1628841599.4321785,385,35.2166862487793
1628841617.055799,386,35.51087188720703
1628841634.7190773,387,35.860904693603516
1628841686.2297206,390,34.7283935546875
1628841703.7737806,391,35.620113372802734
1628841721.742079,392,36.28044128417969
1628841739.6009855,393,33.57590866088867
1628841757.2154639,394,33.79821014404297
1628841775.1891804,395,33.75537872314453
1628841793.065506,396,32.81184005737305
1628841810.7640479,397,33.013675689697266
1628841828.3700004,398,33.641990661621094
1628841846.0953243,399,33.62583541870117
1628841858.0613384,400,34.31349182128906
1628841875.75395,401,32.4597282409668
1628841893.632069,402,33.01539611816406
1628841911.3632925,403,31.960372924804688
1628841946.799411,405,31.499725341796875
1628841982.0558233,407,31.565025329589844
1628841999.8064537,408,32.013702392578125
1628842014.78413,409,32.20547103881836
1628842032.6439807,410,31.566251754760742
1628842082.474957,413,30.951587677001953
1628842100.3561323,414,30.7369327545166
1628842118.1154509,415,30.547016143798828
1628842135.9999006,416,30.767812728881836
1628842188.9030993,419,28.698123931884766
1628842205.774155,420,28.736083984375
1628842241.2668688,422,28.698055267333984
1628842258.8413367,423,29.199417114257812
1628842311.4186883,426,28.219816207885742
1628842329.0787845,427,29.36613655090332
1628842346.5238833,428,28.22453498840332
1628842381.9703245,430,27.641088485717773
1628842399.6871433,431,29.033273696899414
1628842417.438505,432,28.093515396118164
1628842468.7368581,435,28.120023727416992
1628842486.6701164,436,26.882266998291016
1628842504.4107108,437,27.67165756225586
1628842522.1747246,438,26.725561141967773
1628842539.9742851,439,27.50335121154785
1628842557.9608884,440,27.454999923706055
1628842575.6349752,441,26.375858306884766
1628842593.484675,442,26.45386505126953
1628842628.6432333,444,25.86379051208496
1628842646.3840883,445,26.86574935913086
1628842663.964545,446,26.22566032409668
1628842681.4279282,447,26.65964126586914
1628842752.9258327,451,25.65181541442871
1628842770.8139834,452,24.880695343017578
1628842788.4280837,453,24.68375015258789
1628842806.3836753,454,25.862743377685547
1628842822.5143876,455,25.40518569946289
1628842850.05539,457,24.798282623291016
1628842885.5312247,459,25.579164505004883
1628842916.8237524,461,24.90298843383789
1628842934.5256932,462,24.616104125976562
1628842952.2153795,463,23.713008880615234
1628842987.829777,465,23.713340759277344
1628843005.5727177,466,24.329862594604492
1628843020.9839764,467,23.500057220458984
1628843051.46551,469,24.41431999206543
1628843086.7794435,471,24.1014461517334
1628843104.4735835,472,23.429340362548828
1628843139.3096342,474,23.528724670410156
1628843150.3231578,475,23.9046573638916
1628843168.3719208,476,23.63881492614746
1628843221.4553797,479,22.881505966186523
1628843239.1976864,480,23.071598052978516
1628843256.6624217,481,22.800386428833008
1628843274.2688544,482,22.496793746948242
1628843292.0185769,483,22.797067642211914
1628843304.126599,484,22.716035842895508
1628843321.935252,485,21.647329330444336
1628843357.658783,487,22.156251907348633
1628843375.4234092,488,23.089303970336914
1628843393.0972419,489,22.772958755493164
1628843410.9468837,490,22.483570098876953
1628843428.7479506,491,22.634536743164062
1628843446.7812366,492,21.947437286376953
1628843500.251868,495,21.26944351196289
1628843512.0142295,496,21.604717254638672
1628843547.0941634,498,21.615402221679688
1628843564.8145602,499,21.711271286010742
1628843582.7035973,500,21.66510581970215
1628843614.6771712,502,20.983781814575195
1628843632.2567844,503,21.21433448791504
1628843649.9602604,504,20.341211318969727
1628843703.375872,507,20.885770797729492
1628843720.8606162,508,20.838369369506836
1628843738.5294137,509,20.868078231811523
1628843756.6514583,510,20.823591232299805
1628843774.467315,511,21.20086097717285
1628843792.3436544,512,20.794015884399414
1628843809.9884188,513,20.503787994384766
1628843827.758246,514,21.038467407226562
1628843845.7903724,515,20.116897583007812
1628843881.2835255,517,20.67149543762207
1628843896.75374,518,20.671646118164062
1628843914.4330537,519,20.431142807006836
1628843932.0820258,520,20.613298416137695
1628843950.2076516,521,19.88602066040039
1628843968.0412657,522,19.400985717773438
1628844003.2460682,524,19.591739654541016
1628844053.4887195,527,20.240278244018555
1628844121.9662144,531,19.892555236816406
1628844157.1161757,533,19.028364181518555
1628844174.8579586,534,19.364259719848633
1628844192.695686,535,18.771690368652344
1628844210.2102683,536,18.944164276123047
1628844228.156621,537,19.2119083404541
1628844245.9687371,538,18.787586212158203
1628844263.725261,539,18.830921173095703
1628844273.5064502,540,18.967390060424805
1628844291.1969442,541,18.932456970214844
1628844309.1461015,542,18.653810501098633
1628844326.7729533,543,18.4399356842041
1628844344.809396,544,18.340906143188477
1628844362.1979892,545,18.779094696044922
1628844397.7182364,547,18.594158172607422
1628844415.5235238,548,18.442481994628906
