Wall time,Step,Value
1628835366.5189786,1,0.04498858377337456
1628835397.6938381,3,0.05137627571821213
1628835413.9338038,4,0.11204135417938232
1628835430.1421402,5,0.051911186426877975
1628835510.8792899,10,0.07694140076637268
1628835527.4446669,11,0.08086051791906357
1628835543.397697,12,0.08180943131446838
1628835589.9301703,15,0.17810483276844025
1628835606.3896668,16,0.09460487216711044
1628835622.66811,17,0.08104447275400162
1628835655.1597493,19,0.14734326303005219
1628835671.4362805,20,0.26484543085098267
1628835688.0323656,21,0.17054270207881927
1628835720.5273724,23,0.14165028929710388
1628835733.4503956,24,0.23824284970760345
1628835782.5803168,27,0.38716575503349304
1628835798.5496085,28,0.4594918191432953
1628835814.8881161,29,0.4357290267944336
1628835831.1837165,30,0.3347357511520386
1628835847.641909,31,0.34341275691986084
1628835894.3447652,34,0.49733608961105347
1628835910.8461468,35,0.47229865193367004
1628835943.462792,37,0.4916193187236786
1628835959.9030912,38,0.5101945400238037
1628835976.3721406,39,0.4957036077976227
1628835992.7333162,40,0.49918270111083984
1628836009.2600603,41,0.626714289188385
1628836123.864147,48,0.48773467540740967
1628836140.330991,49,0.5467886328697205
1628836155.2551317,50,0.6299073100090027
1628836171.6256366,51,0.6664388179779053
1628836188.0250616,52,0.5764554738998413
1628836204.455159,53,0.5997167825698853
1628836221.056736,54,0.5552441477775574
1628836237.2565832,55,0.6901199221611023
1628836253.7471595,56,0.5419567823410034
1628836282.1258955,58,0.6573531627655029
1628836331.2076638,61,0.5725422501564026
1628836347.7717686,62,0.5752664804458618
1628836364.1603644,63,0.6286097168922424
1628836380.52992,64,0.6489697098731995
1628836413.0689821,66,0.6660738587379456
1628836429.240335,67,0.6371833682060242
1628836445.5512516,68,0.6424224376678467
1628836461.9658213,69,0.6426531076431274
1628836494.7624924,71,0.6424224376678467
1628836511.1850219,72,0.6433451771736145
1628836543.7705913,74,0.6433451771736145
1628836576.6830482,76,0.6424224376678467
1628836607.5108805,78,0.6424224376678467
1628836622.4331293,79,0.6424224376678467
1628836638.5885618,80,0.6428837776184082
1628836655.2554398,81,0.6424224376678467
1628836688.3447468,83,0.6424224376678467
1628836704.9450734,84,0.6424224376678467
1628836726.6596532,86,0.6428837776184082
1628836743.2388313,87,0.6426531076431274
1628836759.7234588,88,0.6424224376678467
1628836792.738862,90,0.6428837776184082
1628836809.073929,91,0.6428837776184082
1628836885.887391,96,0.6431145071983337
1628836902.4921296,97,0.6424224376678467
1628836951.6815848,100,0.6440616846084595
1628836968.288342,101,0.6431145071983337
1628837018.070425,104,0.6426531076431274
1628837034.5062208,105,0.6428837776184082
1628837067.4086814,107,0.6426531076431274
1628837083.8694828,108,0.6428837776184082
1628837100.4044876,109,0.6424224376678467
1628837116.460651,110,0.6438310146331787
1628837131.822445,111,0.6426531076431274
1628837148.2513237,112,0.6424224376678467
1628837164.7130463,113,0.6431145071983337
1628837197.5399106,115,0.6428837776184082
1628837214.0304542,116,0.6424224376678467
1628837230.5407577,117,0.643600344657898
1628837247.0909822,118,0.643600344657898
1628837296.6247814,121,0.6428837776184082
1628837313.0551908,122,0.643600344657898
1628837378.9772522,126,0.6426531076431274
1628837395.556146,127,0.643600344657898
1628837428.6632686,129,0.6438310146331787
1628837445.06934,130,0.6424224376678467
1628837461.4780142,131,0.6428837776184082
1628837477.958715,132,0.6428837776184082
1628837494.5709088,133,0.6426531076431274
1628837527.2152581,135,0.64500892162323
1628837560.6514413,137,0.6424224376678467
1628837577.1655443,138,0.6447781920433044
1628837593.71037,139,0.64500892162323
1628837610.5032074,140,0.643600344657898
1628837626.9219332,141,0.6426531076431274
1628837643.3935966,142,0.6440616846084595
1628837672.4122915,144,0.6426531076431274
1628837688.8686829,145,0.644292414188385
1628837699.2615354,146,0.6424224376678467
1628837715.786574,147,0.646417498588562
1628837732.3654718,148,0.6440616846084595
1628837771.1474576,151,0.6438310146331787
1628837837.4885192,155,0.6424224376678467
1628837869.2738426,157,0.6431145071983337
1628837885.705991,158,0.643600344657898
1628837918.7395132,160,0.6424224376678467
1628837935.173175,161,0.6426531076431274
1628837967.6562717,163,0.6438310146331787
1628837984.2294579,164,0.646417498588562
1628837999.8435593,165,0.643600344657898
1628838033.032209,167,0.6426531076431274
1628838066.540952,169,0.6510947942733765
1628838093.3601327,171,0.6447781920433044
