Wall time,Step,Value
1627269213.4521887,1,0.5111111402511597
1627269214.450243,2,0.6407407522201538
1627269215.5027,3,0.6499999761581421
1627269216.5754263,4,0.7157407402992249
1627269217.491685,5,0.7194444537162781
1627269218.5813503,6,0.7361111044883728
1627269219.6594126,7,0.7407407164573669
1627269220.6561823,8,0.7481481432914734
1627269221.6469839,9,0.7657407522201538
1627269222.657662,10,0.7675926089286804
1627269223.5243113,11,0.7759259343147278
1627269224.4870393,12,0.7814815044403076
1627269225.5424614,13,0.7740740776062012
1627269226.5471585,14,0.7990740537643433
1627269227.4547355,15,0.8027777671813965
1627269228.4474826,16,0.779629647731781
1627269229.3722563,17,0.8018518686294556
1627269230.3334124,18,0.7972221970558167
1627269231.409557,19,0.7962962985038757
1627269232.354049,20,0.8064814805984497
1627269233.4584005,21,0.8101851940155029
1627269234.429312,22,0.8194444179534912
1627269235.400154,23,0.8129629492759705
1627269236.397268,24,0.8092592358589172
1627269237.3680143,25,0.8175926208496094
1627269238.4153519,26,0.8101851940155029
1627269239.4082527,27,0.8222222328186035
1627269240.7790298,28,0.824999988079071
1627269241.9053512,29,0.8324074149131775
1627269242.9416053,30,0.8435184955596924
1627269244.1164794,31,0.8231481313705444
1627269245.050053,32,0.8425925970077515
1627269246.0247476,33,0.8472222089767456
1627269247.058878,34,0.845370352268219
1627269248.19133,35,0.8620370626449585
1627269249.1813495,36,0.8518518805503845
1627269250.1510563,37,0.854629635810852
1627269251.220166,38,0.8620370626449585
1627269252.263756,39,0.8638888597488403
1627269253.407872,40,0.8796296119689941
1627269254.4676418,41,0.8657407164573669
1627269255.4857502,42,0.8518518805503845
1627269256.466397,43,0.8583333492279053
1627269257.5086498,44,0.8629629611968994
1627269258.5959938,45,0.8787037134170532
1627269259.5387561,46,0.8898147940635681
1627269260.5165849,47,0.8916666507720947
1627269261.467254,48,0.875
1627269262.3282146,49,0.8898147940635681
1627269263.3846624,50,0.8962963223457336
1627269264.4339921,51,0.9064815044403076
1627269265.4837472,52,0.8796296119689941
1627269266.5141046,53,0.894444465637207
1627269267.47219,54,0.9111111164093018
1627269268.4972272,55,0.8898147940635681
1627269269.5496922,56,0.9157407283782959
1627269270.58086,57,0.9138888716697693
1627269271.6480174,58,0.9064815044403076
